Food,Serving,Total Weight (gms),Ingredients
Baby Tomato and Lettuce Salad,1,480,Lettuce Leaf-250 gms; Lemon-5 ml; Common salt-15 gms; Black pepper-15 gms; Cherry Tomato-50 gms; Lettuce Leaf-150 gms
Beans Salad,1,324,Rajma-125 gms; Capsicum-62 gms; CUCUMBER-62 gms; Parsley-30 gms; Lemon-15 gms; Common salt-15 gms; Black pepper-15 gms
Corn and spinach Salad,2,538,SPINACH-250 gms;Garlic-1 gms; Common salt-15 gms; Black pepper-15 gms; Lemon-7 gms; Babycorn-250 gms
Corn and Avocado salad,2,337,Avocado-50 gms; CUCUMBER-62 gms; Parsley-15 gms; Lemon-15 gms; Common salt-15 gms; Black pepper-15 gms; Corn-150 gms; Olive oil-15 gms
"Cucumber, Onion and Tomato Salad",1,280,CUCUMBER-70 gms; Tomato-120 gms; Parsley-15 gms; Common salt-15 gms; Black pepper-15 gms; Lemon-15 gms; Onion-30 gms
Lettuce leaves salad,1,101,Lettuce Leaf-6 gms; CUCUMBER-0.25 gms; Capsicum-0.25 gms; Common salt-15 gms; Black pepper-15 gms; Lemon-15 gms
Detox salad,2,610,Spinach-500 gms; CUCUMBER-0.5 gms; carrot-5 gms; Avocado-25 gms; Sunflower seeds-15 gms; PUMPKIN SEED-15 gms; Lemon-15 gms; Common salt-15 gms; Black pepper-15 gms
Mint salad,1,273,Mint leaves-62 gms; CUCUMBER-62 gms; Tomato-120 gms; Lemon-15 gms; Common salt-7 gms; Black pepper-7 gms
Carrot Soup,1,291,carrot-60 gms; Onion-60 gms; Tomato-120 gms;Garlic-1 gms; Common salt-15 gms; Black pepper-15 gms;Parsley-5 gms; Cumin seeds-15 gms
Peas soup,2,350,Peas-250 gms; Onion-50 gms; Garlic-1 gms; Common salt-15 gms; Black pepper-15 gms;Mint leaves-4 gms; Olive oil-15 gms
Tomato soup,2,163,Tomato-60 gms; carrot-20 gms; Onion-50 gms;Garlic-1 gms; Common salt-15 gms; Black pepper-15 gms; Cinnamon-1 gms; Ginger-1 gms
Chicken rice soup,6,1572,carrot-300 gms; Celery-300 gms; Common salt-15 gms; Parsley-7 gms; Olive oil-15 gms; Rice-300 gms; Onion-160 gms; Garlic-30 gms; Chicken Broth-230 gms; Black Pepper-15 gms; Chicken-200 gms
Baingan Bharta,1,286,Onion-50 gms ; Tomato-20 gms; Chillies 2 gms; Cumin seeds-7 gms; Common salt-15 gms; Cooking oil-15 gms; Ginger-10 gms; Coriander Leaves-15 gms; Brinjal-100 gms ; Turmeric powder-15 gms; Coriander Powder-15 gms; Red chilli Powder-7 gms; Garam Masala-15 gms
Bharwa Baigan,1,248,Turmeric powder-7 gms; Cumin seeds-7 gms; Common salt-15 gms; Cooking oil-15 gms; Coriander leaves-30 gms; MANGO POWDER-7 gms; Mustard seeds-7 gms; Curry leaves-10 gms; Brinjal-150 gms
Bharwa Tinda,1,203,BOTTLE GOURD-120 gms; Cumin seeds-7 gms; Common salt-15 gms; Cooking oil-7 gms; Coriander leaves-30 gms; MANGO POWDER-7 gms; Mustard seeds-7 gms; Curry leaves-10 gms
Bhindi,1,493,Ladies finger-250 gms; Cooking oil-7 gms; Cumin seeds-15 gms; Onion-180 gms; Common salt-15 gms; Coriander leaves-4 gms; MANGO POWDER-7 gms; Coriander Powder-15 gms
Green Beans Aloo,2,511,Beans-250 gms; POTATO-100 gms ; Cumin seeds-15 gms; Onion ; Tomato-120 gms; Turmeric powder-7 gms; Common salt-15 gms; Coriander leaves-4 gms
Karela Vegetable,2,65,Karela-3 ; Cooking oil-15 gms; Onion-1 gms; Cumin seeds-15 gms; Mustard seeds-7 gms; Turmeric powder-7 gms; Common salt-15 gms; Coriander leaves-5 gms
Methi Vegetable,2,692,Fenugreek leaves-500 gms; Onion-125 gms; Cooking oil-15 gms; Cumin seeds-7 gms; Mustard seeds-7 gms; Asafoetida-4 gms;Garlic-4 gms; Common salt-15 gms; Coriander leaves-15 gms
Palak Vegetable,2,769,Spinach-500 gms; Onion-100 gms; Tomato-120 gms; Garlic-2 gms; Cumin seeds-7 gms; Common salt-15 gms; Cooking oil-15 gms; Ginger-10 gms
Broccoli Vegetable,1,134,Onion-100 gms; Garlic-2 gms; Common salt-15 gms; Black pepper-15 gms; Lemon-2 gms
Bell Peppers Vegetable,1,415,Capsicum-180 gms; Onion-70 gms;Garlic-10 gms; Tomato-120 gms; Common salt-15 gms; Black pepper-15 gms; Basil-5 gms
Capsicum Vegetable,1,503,Capsicum-200 gms; Onion-100 gms; Tomato-120 gms; Garlic-20 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Common salt-15 gms; Cooking oil-30 gms; Coriander leaves-4 gms
Cabbage Matar Vegetable,1,681,CABBAGE-500 gms; Peas-125 gms; Onion-1 gms; Garlic-2 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Common salt-15 gms; Cooking oil-15 gms; Coriander leaves-4 gms; Ginger-5 gms
Aloo Gobhi Vegetable,2,230,POTATO-50 gms; Cauliflower-100 gms; Turmeric powder-15 gms; Common salt-15 gms; Mustard oil-30 gms; Coriander leaves-15 gms; Ginger-5 gms1
Aloo Matar Vegetable,2,495,POTATO-150 gms; Peas-250 gms; Onion; Coriander leaves-15 gms; Cumin seeds-15 gms; Mustard oil-30 gms; Turmeric powder-15 gms; Common salt-15 gms; Ginger-5 gms
Aloo Matar Gravy,2,815,POTATO-150 gms ; Peas-250 gms; Onion-20 gms; Tomato-320 gms; Turmeric powder-15 gms; Mustard oil-30 gms; Coriander leaves-15 gms; Common salt-15 gms
BAKED BROCCOLI (NO WHITE SAUCE),1,395,Broccoli-350 gms; Olive oil-30 gms; Garlic-15 gms
BAKED CAULIFLOWER (NO WHITE SAUCE),1,145,Cauliflower-100 gms; Common salt-15 gms; Olive oil-15 gms; Garlic Powder-15 gms
BAKED MIX VegETABLES (WITH TOMATO SAUCE),1,1013,Beans-62 gms; Peas-62 gms; carrot-62 gms; Zucchini-62 gms; Garlic-10 gms; Common salt-15 gms; Broccoli-350 gms; Onion-125 gms; Olive oil-15 gms; Tomato-250 gms
BAINGAN ALOO VegETABLE,1,135,POTATO-50 gms ; Brinjal-15 gms; Ginger-5 gms; Turmeric powder-15 gms; Mustard oil-30 gms; Coriander leaves-15 gms; Common salt-0.5 gms
BAINGAN MATAR VegETABLE,1,279,Brinjal-15 gms; Peas-62 gms; Ginger-7 gms; Onion; Tomato-120 gms; Turmeric powder-15 gms; Mustard oil-30 gms; Coriander leaves-15 gms; Common salt-15 gms
CHHOTI ELAICHI WATER,1,3,Cardamom-3 gms
CINNAMON WATER,1,6,Cinnamon-6 gms
KHICHDI (BASMATI RICE),1,324,Rice-200 gms; Gram dal-80 gms; Turmeric powder-7 gms; Cumin seeds-7 gms; Cooking oil-15 gms; Common salt-15 gms
KHICHDI (BROWN RICE),1,299,Rice-175 gms; Gram dal-80 gms; Turmeric powder-7 gms; Cumin seeds-7 gms; Cooking oil-15 gms; Common salt-15 gms
BLACK CHANNA RASEDAR,1,634,Black gram-250 gms; Onion-200 gms; Tomato-120 gms; Chillies-15 gms; Turmeric powder-4 gms; Coriander leaves-15 gms; Cooking oil-15 gms; Common salt-15 gms
BLACK CHANNA (dry),1,355,Black gram-250 gms; Cumin seeds-15 gms; Chillies-15 gms; Ginger-15 gms; MANGO POWDER-15 gms; Coriander leaves-15 gms; Cooking oil-15 gms; Common salt-15 gms
DHANIYA CHUTNEY,2,263,Coriander leaves-250 gms; Garlic-1 gms; Ginger-1 ; Lemon-0.5 gms; Common salt-7 gms
GREEN CHUTNEY,2,340,Coriander leaves-250 gms;Mint leaves-62 gms; Onion-0.5 ; Ginger-1 gms; Chillies-1 ; MANGO POWDER-7 gms; Lemon-0.5 gms; Common salt-15 gms
Overnight soaked oats,1,354,Milk-200 gms; ALMOND-15 gms; BLACKBERRY-30 gms; Apple-100 gms; Walnut-9 gms
Tomato chutney,2,372,Tomato-200 gms; Onion-100 gms; Chillies-15 gms;Garlic-2 gms; Mustard seeds-4 gms; Cumin seeds-4 gms; Gram dal-4 gms; Asafoetida-30 gms; Turmeric powder-4 gms; Common salt-4 gms; Ginger-5 gms
Chickpea Curry,1,381,Onion-95 gms; Tomato-90 gms; Cooking oil-7 gms; Cumin seeds-15 gms; Turmeric powder-4 gms; Common salt-15 gms; Coriander leaves-5 gms; Chickpeas-150 gms
Mix Vegetable Pulav,1,694,carrot-125 gms; Peas-125 gms; Onion-125 gms; Tomato-125 gms; Cumin seeds-4 gms; Cooking oil-7 gms; Common salt-15 gms; Coriander leaves-4 gms; Chillies-4 gms; Garlic-0.5 gms; Ginger-0.5 gms; Rice-150 gms
Broccoli SALAD,1,110,Lemon-5 ml; Common salt-15 gms; Black pepper-15 gms; Sunflower seeds-10 gms; Broccoli-70 gms
Bajra Dosa,1,36,Fenugreek seeds-15 gms; Common salt-15 gms; Cooking oil-5 gms; Bajra-1 gms
Parwal Aloo Vegetable,1,534,Parwal-250 gms; POTATO-150 gms; Cooking oil-15 gms; Cumin seeds-7 gms; ; Turmeric powder-7 gms; Chillies-15 gms; Common salt-15 gms; Coriander leaves-75 gms
Pyaaz Sabzi,1,331,Onion-250 gms; Cooking oil-15 gms; Cumin seeds-7 gms; Mustard seeds-7 gms; Turmeric powder-7 gms; Chillies-15 gms; Coriander seeds-15 gms; Common salt-15 gms
Sarson Saag,1,647,MUSTARD LEAVES-250 gms; SPINACH-250 gms; Bathua leaves-50 gms; Ginger-1 gms;Garlic-6 gms; Maize-30 gms; Common salt-15 gms; Ghee-15 gms; Cumin seeds-15 gms; Chillies-15 gms
"Zucchini, asparagus, and bell peppers",1,347,Zucchini-200 gms; Capsicum-100 gms; Cooking oil-15 gms;Garlic-2 gms; Common salt-15 gms; Black pepper-15 gms
Spring onions with bell peppers,1,354,Onion-200 gms; Capsicum-100 gms; Garlic-2 gms; Common salt-15 gms; Black pepper-15 gms; Chillies-7 gms; Coriander leaves-15 gms
Steamed Broccoli,1,123,Garlic-1 gms; Common salt-15 gms; Lemon-7 gms; Chillies-30 gms; Broccoli-70 gms
Stuffed bell peppers,1,517,Capsicum-200 gms; POTATO-125 gms; Peas-125 gms; Onion-1 gms; Garlic-2 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Chillies-15 gms; Common salt-15 gms; Cooking oil-15 gms; Coriander leaves-5 gms
Stuffed Karela,1,168,Karela-40 gms; Cooking oil-30 gms; Cumin seeds-15 gms; Asafoetida-7 gms; Turmeric powder-7 gms; Chillies-4 gms; Coriander seeds-15 gms; Common salt-15 gms; Coriander leaves-5 gms; Onion-30 gms
Turnip (Shalgum) Vegetable,1,434,TURNIP-250 gms; Onion-100 gms;Garlic-2 gms; Ginger-1 gms; Cumin seeds-15 gms; Mustard seeds-7 gms; Turmeric powder-7 gms; Coriander seeds-15 gms; Chillies-7 gms; Common salt-15 gms; Cooking oil-15 gms
Pudina Chutney,1,99,Mint leaves-50 gms; Coriander leaves-25 gms; Chillies-2 gms; Lemon-10 gms; Common salt-7 gms; Ginger-3.5 gms
Upma,1,279,Semolina-80 gms; Cooking oil-10 gms; Gram dal-7 gms; Curry leaves-8 gms; Chillies-2 gms; Onion-50 gms; carrot-50 gms; Peas-50 gms; Common salt-15 gms; Channa Dal-7 gms
Quinoa Chicken Soup,1,257,Chicken-80 gms; Quinoa-50 gms; carrot-50 gms; Celery-30 gms; Onion-10 gms; Garlic-2 gms; Cooking oil-5 gms; Common salt-15 gms; Black pepper-15 gms
Anjeer Water,1,50,Fig-50 gms
Dhaniya Ajwain Jaw Water,1,55,Coriander seeds-15 gms; Barley-0.25 gms; Water-15 gms
Tinda Vegetable (Gravy),1,361,Tinda-4 gms; Onion-180 gms; Tomato-120 gms; Cumin seeds-4 gms; Turmeric powder-7 gms; Chillies-15 gms; Coriander seeds-4 gms; Common salt-15 gms; Mustard oil-7 gms; Coriander leaves-5 gms
Baba Ganoush with Falafel,2,201,Brinjal-100 gms;Garlic -2 gms; Lemon-4 gms; Cooking oil-15 gms; Cumin seeds-4 gms; Common salt-15 gms; Black pepper-15 gms;Parsley -4 gms; Onion-15 gms; Coriander leaves-15 gms; Mint leaves-4 gms; Coriander seeds-4 gms; Chillies-4 gms
GOBHI MATAR VegETABLE,1,657,Cauliflower-250 gms; Peas-62 gms; Tomato-120 gms; Onion-90 gms; Ginger-20 gms; Cumin seeds-7 gms; Coriander seeds-4 gms; Turmeric powder-7 gms; Chillies-7 gms; Common salt-15 gms; Cooking oil-15 gms; CORIANDER LEAVES-60 gms
KASHMIRI BAINGAN,1,535,Brinjal-250 gms; Tomato-120 gms; Onion-90 gms; Ginger-1.5 gms; Garlic-1.5 gms; Cumin seeds-4 gms; Chillies-7 gms; Turmeric powder-4 gms; Cinnamon-4 gms; Cardamom-4 gms; Cloves-4 gms; Black PEPPER-4 gms; Cooking oil-15 gms; Common salt-15 gms; Coriander leaves -4 gms
KASHMIRI GOBHI,1,573,Cauliflower-250 gms; Tomato-120 gms; Onion-120 gms; Ginger-1.5 gms;Garlic-1.5 gms; Cumin seeds-0.25 gms; Chillies-7 gms; Turmeric powder-4 gms; Cinnamon-4 gms; Cardamom-4 gms; Cloves-4 gms; Black pepper-4 gms; Mustard oil-15 gms; Common salt-1 gms; Coriander leaves-5 gms
KASHMIRI PALAK,1,450,Spinach-250 gms; Tomato-120 gms; Onion-0.5 gms; Garlic-1.5 gms; Ginger-1.5 gms; Cumin seeds-4 gms; Chillies-7 gms; Turmeric powder-4 gms; Cinnamon-4 gms; Cardamom-4 gms; CLOVES-4 gms; Black PEPPER-4 gms; Mustard oil-15 gms; Common salt-15 gms; Coriander leaves -4 gms
Parwal,1,379,Onion-120 gms; Tomato-120 gms; Ginger-80 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Chillies-4 gms; Coriander seeds-7 gms; Mustard oil-15 gms; Common salt-15 gms; Coriander leaves-4 gms
Mushroom Vegetable,1,297,Mushroom-150 gms; Onion-90 gms; Ginger-1.5 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Chillies-4 gms; Coriander seeds-7 gms; Mustard oil-7 gms; Common salt-15 gms; Coriander leaves-5 gms
Muli Saag,1,212,Radish leaves-150 gms; RADISH-0.5 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Chillies-4 gms; Coriander seeds-7 gms; Chillies-2 gms; Mustard oil-15 gms; Common salt-15 gms
Methi Aloo Vegetable,1,257,Fenugreek leaves-100 gms; POTATO-100 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Chillies-4 gms; Coriander seeds-7 gms; Chillies-2 gms; Mustard oil-15 gms; Common salt-15 gms
Methi Gajar Vegetable,1,257,Fenugreek leaves-100 gms; carrot-100 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Chillies-4 gms; Coriander seeds-7 gms; Chillies -2 gms; Mustard oil-15 gms; Common salt-15 gms
Veg Entree (Grilled),1,383,Garlic-2 gms; Common salt-15 gms; Black pepper-15 gms; Capsicum-90 gms; Onion-90 gms; Brinjal-123 gms; Mushroom-48 gms
Tomato Rice (White Rice),1,303,Puffed rice-125 gms; Tomato-120 gms; Onion-1 gms; Turmeric powder-4 gms; Chillies-7 gms; Cumin seeds-7 gms; Mustard seeds-7 gms; Fenugreek seeds-7 gms; Curry leaves-3 gms; Cooking oil-15 gms; Common salt-7 gms
Moong Tikki,3,201,Dal dal-62 gms; POTATO-90 gms; Ginger-4 gms; Chillies-4 gms; Common salt-15 gms; Cumin seeds-4 gms; Lemon-7 gms; Cooking oil-15 gms
Kari-Patta Water,1,11,Curry leaves-6 gms;Ajwain-5 gms
Dal Soup,3,374,Onion-60 gms; Garlic-0.5 gms; Ginger-7 gms; Turmeric powder-4 gms; Cumin seeds-4 gms; Coriander seeds-4 gms; Common salt-15 gms; Black pepper-15 gms; Coriander leaves-5 gms; Olive oil-15 gms; Moong Dal-150 gms; Tomato -90 gms
Pumpkin Vegetable,1,333,"PUMPKIN-250 gms; Mustard oil-7 gms; Mustard seeds-7 gms; Curry leaves-6 gms; Pomegranate, maroon seeds-15 gms; Common salt-15 gms; Turmeric powder-4 gms;Black Pepper-4 gms; Cumin seeds-0.25 gms"
Capsicum Potato Vegetable,1,315,POTATO-90 gms; Capsicum-40 gms; Onion-0.5 gms; Tomato-120 gms; Mustard oil-15 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Chillies-7 gms; Common salt-15 gms; Parsley-4 gms; Coriander leaves-5 gms
Cauliflower Vegetable,1,328,Cauliflower-250 gms; Onion-0.5 gms; Ginger-15 gms; Cumin seeds-7 gms; Coriander seeds-7 gms; Turmeric powder-4 gms; Common salt-15 gms; Black pepper-15 gms;Parsley-5 gms; Coriander leaves-5 gms
Drumstick Curry,1,182,Drumstick-2 gms; Onion-0.5 gms; Tomato-120 gms)-1 ; Ginger-0.5 gms;Garlic-0.5 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Coriander seeds-7 gms; Chillies-4 gms; Common salt-15 gms; Coriander leaves-5 gms
Ganth Gobhi Vegetable (Lump Cabbage),1,235,Onion-15 gms;Garlic-1 gms; Cumin seeds-7 gms; Turmeric powder-4 gms; Coriander seeds-4 gms; Chillies-4 gms; Common salt-15 gms; Black pepper-15 gms; Coriander leaves-5 gms; CAULIFLOWER-150 gms; Olive oil-15 gms
Dry Matar Vegetable,1,339,Peas-250 gms; Onion-15 gms; Ginger-7 gms; Mustard oil-7 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Coriander seeds-7 gms; Chillies-4 gms; Common salt-15 gms; Coriander leaves-5 gms; Olive oil-15 gms
Beetroot Salad,1,325,Beetroot-50 gms; CUCUMBER-25 gms; Onion-25 gms; Tomato-90 gms; carrot-50 gms; Lettuce Leaf-30 gms; Lemon-15 gms; Common salt-15 gms; Black pepper-15 gms; Parsley-5 gms; CORIANDER-5 gms
Bellpepper Salad,1,950,Capsicum-750 gms; CUCUMBER-50 gms; Onion-25 gms; Tomato-90 gms; Common salt-15 gms; Black pepper-15 gms; Parsley-5 gms
Fresh Fruit Salad,1,464,APPLE-100 gms; BANANA-59 gms; Mango-150 gms; Common salt-15 gms; PUMPKIN SEED-15 gms; Sunflower seeds-15 gms; Mint leaves-5 gms; Strawberry-30 gms; Pineapple-75 gms
Chicken soup,1,248,Chicken-100 gms; carrot-60 gms; Celery-17 gms; Onion-1 gms; Garlic-10 gms; Common salt-15 gms; Black pepper-15 gms; Parsley-15 gms; Olive oil-15 gms
2 Pieces Stuffed idli,2,424,RICE-125 gms; Gram dal-62 gms; Common salt-15 gms; carrot-62 gms; Peas-62 gms; Beans-62 gms; Mustard seeds-4 gms; Cumin seeds-4 gms; Turmeric powder-4 gms; Chillies-4 gms; Cooking oil-15 gms; CORIANDER LEAVES-5 gms
HALDI WATER,1,4,Turmeric powder-4 gms
HONEY LEMON WATER,1,22,Lemon-15 gms; HONEY-7 gms
JEERA AJWAIN WATER,1,20,Cumin seeds-15 gms; Ajwain-5 gms
Grilled Chicken Salad,1,180,Chicken-60 gms; Garlic-0.5 gms; Common salt-15 gms; Black pepper-15 gms; carrot-1 gms; Capsicum-20 gms; Lettuce Leaf-10 gms; Yoghurt-10 gms; Lemon-15 gms; Coriander leaves-20 gms; Mint leaves-2 gms; Cumin seeds-7 gms
TANDOORI CHICKEN (2 LEG & 2 BREAST),2,230,Chicken-150 gms; Lemon-15 gms; Ginger-10 gms; Garlic-10 gms; Cumin seeds-7 gms; Turmeric powder-4 gms; Chillies-4 gms; Common salt-15 gms; Cooking oil-15 gms
Mixed Fresh Fruit Juice,2,428,ORANGE-150 gms; Apple-150 gms; Pear-89 gms; Ginger-24 gms; Lemon-15 gms
Shreded Chicken Dish,1,705,Chicken-150 gms; Onion-250 gms; Zucchini-250 gms; Garlic-10 gms; Common salt-15 gms; Black pepper-15 gms; Lemon-15 gms
Black Rice (pulao),1,501,carrot-1 gms; Peas-50 gms; Capsicum-50 gms; Cooking oil-15 gms; Turmeric powder-15 gms; Cumin seeds-15 gms; Coriander leaves-5 gms; Rice-350 gms
PULAO,1,583,Rice-62 gms; carrot-125 gms; Peas-125 gms; Capsicum-125 gms; Onion-1 gms; Tomato-90 gms; Ginger-2 gms; Garlic-2 gms; Cumin seeds-7 gms; Ghee-7 gms; Turmeric powder-5 gms; Coriander seeds-7 gms; Black pepper-5 gms; Common salt-15 gms; Coriander leaves-5 gms
Millets (Little) (Pulav),1,796,Garlic-1 gms; carrot-250 gms; Onion-250 gms; Peas-250 gms; Cumin seeds-15 gms; Common salt-15 gms; Black pepper-15 gms
Quinoa Khichdi,1,118,Quinoa-50 gms; Dal-20 gms; Cooking oil-5 gms; Cumin seeds-7 gms; Mustard seeds-7 gms; Turmeric powder-7 gms; Coriander seeds-7 gms; Common salt-15 gms
Quinoa Pulao,1,401,Quinoa-50 gms; carrot-100 gms; Peas-100 gms; Beans-100 gms; Cooking oil-15 gms; Cumin seeds-7 gms; Turmeric powder-7 gms; Coriander seeds-7 gms; Common salt-15 gms
Ragi Dalia,1,628,Cumin seeds-7 gms; Chillies-4 gms; Cooking oil-15 gms; Onion-125 gms; Tomato-120 gms; dalia-350 gms; Common salt-7 gms
Cooked Arhar dal,1,282,Turmeric powder-4 gms; Common salt-15 gms; Cooking oil-7 gms; Mustard seeds-4 gms; Cumin seeds-4 gms; Ginger-0.25 gms; Garlic-1 gms; Tomato-62.5 gms; Onion-62 gms; Coriander leaves-5 gms; Dal-150 gms
Chicken frittata,1,170,Chicken-60 gms; Egg-20 gms; Capsicum-20 gms; Onion-20 gms; Spinach-20 gms; Common salt-15 gms; Black pepper-15 gms
Roasted Fish,3,99,Lemon-1 gms; Common salt-15 gms; Black pepper-15 gms; Garlic-3 gms; Parsley-5 gms; Salmon-60 gms
Masala Fish,2,139,Salmon-20 gms; Onion-10 gms; Ginger-7 gms; Garlic-7 gms; Turmeric powder-15 gms; Chillies-15 gms; Cumin seeds-15 gms; Coriander seeds-15 gms; Common salt-15 gms; Cooking oil-15 gms; Coriander leaves-5 gms
Ghiya Vegetable (gravy),1,819,BOTTLE GOURD-500 gms; Tomato-90 gms; Onion-160 gms ; Cumin seeds-4 gms; Turmeric powder-7 gms; Chillies-4 gms; Coriander seeds-4 gms; Ginger-15 gms; Common salt-15 gms; Mustard oil-15 gms; Coriander leaves-5 gms
Thai Salad with Coconut Lime Dressing,1,149,Zucchini-10 gms; Capsicum-20 gms; Cabbage-1- gms; Lettuce Leaf-30 gms; COCONUT milk-15 gms; Lemon-15 gms; Coriander leaves-15 gms; Garlic-7 gms; Ginger-7 gms; Common salt-15 gms; Black pepper-15 gms
Chicken Greek Salad,1,83,Chicken-1 gms; Garlic-7 gms; Common salt-15 gms; Black pepper-15 gms; CUCUMBER-1 gms; Tomato-1 gms; Capsicum-1 gms; Lettuce Leaf-30 gms; Lemon-5 gms; Garlic-7 gms
Lettuce Avocado Salad,1,57,Lettuce leaf-1 gms; Avocado-1 gms; CUCUMBER-1 gms; Yoghurt-10 gms; Lemon-5 gms; Coriander leaves-2 gms; Cumin seeds-7 gms; Common salt-15 gms; Black pepper-15 gms
Almond coriander soup,1,216,Coriander leaves-10 gms; Ginger-1 gms; Common salt-4 gms; Onion-150 gms; Black pepper-0.25 gms; Olive oil-15 gms; Almond-11 gms
Lemon rice soup,1,101,Mustard seeds-5 gms; Cumin seeds-5 gms; Ginger-1 gms; Curry leaves-10 gms; Lemon-15 gms; Common salt-15 gms; Rice-50 gms
Rice flour laddu,4,305,Rice-250 gms; COCONUT-50 gms; Cardamom-5 gms; Ghee-10 ml
Thekua,15,386,Atta-300 gms; Jaggery-40 gms; Cardamom-16 gms; Ghee-30 gms
Oats milk,3,94,Rolled Oats-90 gms; Common salt-4 gms
Cooked Foxtail Millets,1,150,Millets-150 gms
Cooked kuddo Millets,1,150,Millets-150 gms
Rice Noodles,1,165,Rice Noodles-150 gms; ; Common salt-15 gms
MILLET CHEELA,1,128,Millets-45 gms; Onion-62.5 gms; carrot-40 gms; Spinach-37.5 gms; CORIANDER LEAVES-37.5 gms; Chillies-7 gms; Cumin seeds-7 gms; Cooking oil-7 gms; Common salt-7 gms
Quinoa Cheela,1,443,Onion-15 gms; Capsicum-15 gms; carrot-15 gms; Coriander leaves-7 gms; Cumin seeds-4 gms; Chillies-7 gms; Cooking oil-15 gms; Common salt-15 gms; Quinoa-350 gms
Oats Dalia,1,119,Onion-15 gms; Peas-15 gms; carrot-15 gms; Beans-15 gms; Cumin seeds-15 gms; Turmeric powder-7 gms; Chillies-7 gms; Cooking oil-15 gms; Common salt-15 gms
Dal Tikki,2,356,Channa Dal-125 gms; POTATO-175 gms; Coriander leaves-7 gms; MANGO POWDER-7 gms; Cumin seeds-4 gms; Coriander seeds-4 gms; Chillies powder-4 gms; Common salt-15 gms; Cooking oil-15 gms
"Tea (ginger, Tulsi, cardamon, cinnamon sticks, black pepper)",1,910,Ginger-35 gms; Milk-875 gms
Spinach Salad,1,184,SPINACH-50 gms; CUCUMBER-20 gms; Sunflower Seeds-10 g; Pumpkin Seeds-30 gms; Lemon-15 gms; Common salt-7 gms; Black pepper-7 gms; Onion-62.5 gms; Tomato-45 gms; Olive oil-7.5 gms
JAWAR STUFFED ROTI (Aloo),1,52,Onion-15 gms; Coriander leaves-7 gms; Cooking oil-15 gms; Common salt-15 gms
Aam Ras,1,400,MANGO-150 gms; Milk-250 gms
Lemon Coriander Soup,4,111,Coriander leaves-15 gms; Ginger-1 gms; Garlic-1 gms; Common salt-15 gms; Lemon-15 gms; Olive oil-15 gms; Onion-31.25 gms; Coriander Powder -24 gms
chicken stew,4,92,Chicken-62 gms; POTATO-87.5 gms; carrot-20 gms; Peas-37.5 gms
moong dal puree,4,705,Moong Dal-150 gms; carrot-60 gms; POTATO-175 gms; TOMATO-90 gms; Onion-125 gms; Garlic-15 gms; Ginger-15 gms; Cumin seeds-15 gms; Turmeric powder-15 gms; Common salt-15 gms; Coriander leaves-15 gms; Olive oil-15 gms
Rice Dosa,1,24,Urad Dal Flour-15 gms; Rice Flour-37.5 gms; Common salt-4 gms
Quinoa Cutlet,1,279,Quinoa-75 gms; POTATO-87.5; carrot-60 gms; Beans-15 gms; Coriander leaves-7 gms; Ginger-0.25 gms; Cumin seeds-4 gms; Red chilli Powder-7 gms; Common salt-7 gms; Olive oil-3.75 gms; Garlic powder-4 gms
Broccoli with mix bell pepper Vegetable,1,732,Broccoli-200 gms; Capsicum-150 gms; Babycorn-100 gms; Tofu-250 gms; Black pepper-10 ; Onion;Garlic-2 gms; Olive oil-15 gms; Common salt-15 gms
Ragi Flour Cheela,1,169,RAGI-60 gms; Onion-30 gms; TOMATO-30 gms; Capsicum-30 gms; Cumin seeds-2 gms; Common salt-2 gms; Olive oil-15 gms
Rice Flour Cheela,1,211,Rice Flour-150 gms; Cumin seeds-10 gms; CORIANDER-10 gms; Turmeric powder-10 gms; Red chilli Powder-15 gms; Common salt-1 gms; Olive oil-15 gms
Vegetable Juice(Cucumber+Ghiya+1 Carrot),1,95,CUCUMBER-20 gms; Bottle gourd-15 gms; Carrot-60 gms
"Veg Shredded,Green Peas Mushroom Vegetable",1,1113,CABBAGE-250 gms; carrot-250 gms; Peas-250 gms; MUSHROOM-250 gms; Onion-1 gms; Garlic powder-15 gms; Cumin seeds-15 gms; CORIANDER-15 gms; Turmeric powder-7 gms; Red chilli Powder-15 gms; Common salt-15 gms; Olive oil-30 gms
Lemon Rice Soup With Red Rice,4,1647,Rice-1200gms; Onion-125 gms; Garlic-15 gms; carrot-125 gms; Olive oil-30 gms; Celery-62 gms; Lemon-90 gms
