Food,Region,Type,Category,Allergy,Serving,Total Weight (gms),Energy(kcal),Proteins,Carbohydrates,Fats,Fiber,Carbon Footprint(kg/CO2),Ingredients
Sabudana Khichdi,North,"Lunch,Dinner",Veg,peanut allergy,1 small bowl,125,156,3,22,5,9,0.1758,"Tapioca - 0.25 cup; Common salt - 1 tbsp; Cumin seeds - 0.25 tbsp; Curry leaves - 5 gms; Chillies, green-1 - 1 gms; POTATO - 1 gms; LEMON - 0.5 tbsp; CORIANDER - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 0.5 tbsp"
Sabudana Vada,North,Snacks,Veg,peanut allergy,10 medium,202,32,0,3,2,1,0.345,"Tapioca - 0.5 cup; POTATO - 1 gms; Cumin seeds - 0.5 tbsp; Chillies, green-1 - 1 gms; CORIANDER - 1 tbsp; Common salt - 1 tbsp; Lemon, juice - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp"
Amla water,"North,South,East,west",Drinks,Veg,no-allergies,1 glass,11,16,0,3,0,1,0.0024,"AMLA - 1 gms; Pepper, black - 1.5 gms; Mint leaves - 5 gms; Plain Water - 1 small glass"
Prune and Imlie (Tamarind) Water,"North,South,East,west",Drinks,Veg,no-allergies,1 glass,3,44,0,10,0,2,0.00375,PRUNES - 2 gms; TAMARIND PULP - 1 small; Cumin seeds - 1 pinch
Imlie & Prune Water with Mishri,"North,South,East,west",Drinks,Vegan,no-allergies,4 glass,102,100,2,21,1,0,0.1655,"PRUNES - 2 gms; TAMARIND SEED KERNEL, roasted - 50 gms; Plain Water - 1 ml; Mishri (Rock sugar) - 3.5 tbsp"
Besan Milk,"North,South,East,west",Drinks,Veg,dairy allergy,2 cup,281,47,3,7,1,2,0.7425,Besan - 1.5 tbsp; CARDAMOM - 0.5 tbsp; Milk (low fat) - 1 cup
Chicken Wheat Noodles,Continental,"Lunch,Dinner",Non-veg,gluten allergy,2 medium bowl,578,231,22,21,7,5,1.31385,"Chicken, poultry, breast, skinless - 1 small; CARROT - 0.5 cup; Capsicum, green - 0.5 cup; PEAS green - 0.5 cup; Garlic, small clove - 3 gms; SOYA SAUCE - 1 tbsp; VINEGAR - 1 tbsp; Common salt - 1 tbsp; Ginger, fresh - 0.5 piece"
Ragi Roti (30% Oats Bran + 70% Ragi atta),South,"Lunch,Dinner",Veg,gluten allergy,1 medium,44,91,3,18,0,4,0.042,Ragi flour - 1.5 tbsp; Oats - 1 tbsp; Plain Water - 1 small glass; Common salt - 1 cup
Wheat Roti (20% Quinoa flour + 80% wheat flour),North,"Lunch,Dinner",Veg,gluten allergy,2 medium,105,166,6,32,2,6,0.03,"Wheat flour, atta - 0.5 medium bowl; Plain Water - 1 small glass; Quinoa Flour - 0.5 small bowl"
Egg Wheat Noodles,Continental,"Lunch,Dinner",Eggetarian,egg allergy,2 medium bowl,808,192,15,31,1,9,1.27385,"Egg, poultry, white, raw - 2 medium; CARROT - 0.5 cup; Capsicum, green - 1 cup; PEAS green - 1 cup; Garlic, small clove - 3 gms; SOYA SAUCE - 1 tbsp; VINEGAR - 1 tbsp; Common salt - 1 tbsp; Ginger, fresh - 0.5 tsp grated"
Jau Roti (100%),North,"Lunch,Dinner",Vegan,no-allergies,4 medium,150,79,3,15,0,4,0.165,Barley - 1 small bowl; Plain Water - 0.5 small glass
Jau Roti (20% Jau atta and 80% wheat atta),North,"Lunch,Dinner",Vegan,gluten allergy,1 medium,99,311,10,62,1,13,0.1014,"Barley - 1.5 tbsp; Wheat flour, atta - 5 tbsp; Plain Water - 0.5 small glass"
Jau Roti (50% Jau atta & 50% Oats atta),North,"Lunch,Dinner",Veg,gluten allergy,1 medium,150,343,12,61,5,13,0.0825,Barley - 0.5 small bowl; Oats Atta - 0.5 small bowl; Plain Water - 1 small glass
Foxtail Millet Pulao,North,"Lunch,Dinner",Veg,nut allergy,4 small bowl,449,254,8,40,6,6,0.6015,"Capsicum, green - 1 small bowl; CARROT - 0.5 small bowl; PEAS green - 0.5 small bowl; Onion, big - 0.5 medium bowl; Cumin seeds - 1 tbsp; Common salt - 1 tbsp; Ginger, fresh - 1 piece; CLOVES, dry - 1 number; Fresh Coriander Leaves (chopped) - 1 tbsp; Foxtail Millet (Raw) - 200 gm; chopped tomato - 1 medium tomato; Chopped Green Chilli - 1 tbsp; Turmeric powder - 0.5 tbsp; Coriander Powder - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Plain Water - 2 large glass"
Kodo Millet Khichdi,South,"Lunch,Dinner",Veg,no-allergies,4 small bowl,469,253,6,43,6,7,0.659,"CARROT - 0.5 small bowl; Capsicum, green - 1 small bowl; Onion, big - 0.5 small bowl; PEAS green - 0.5 medium bowl; Cumin seeds - 1 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Fresh Coriander Leaves (chopped) - 1 tbsp; Kodo Millet (Raw) - 200 gm; Plain Water - 2 large glass; Turmeric powder - 0.5 tbsp; Coriander Powder - 0.5 tbsp; Ginger Paste - 1 tbsp; Garlic paste - 1 tbsp; Chopped Green Chilli - 1 tbsp"
Egg curry,"North,South,East","Lunch,Dinner",Eggetarian,egg allergy,2 small bowl,88,122,10,3,8,1,0.2291,"Egg, poultry, white, boiled - 3 gms; Onion, small - 1 gms; Tomato, ripe, local - 1 gms; Turmeric powder - 0.25 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Coriander leaves - 4 gms"
Chicken Curry,"North,South,East","Lunch,Dinner",Non-veg,no-allergies,4 medium bowl,775,285,29,8,15,3,2.8485,"COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Common salt - 1 tbsp; Chicken, poultry, breast, skinless - 1 large bowl; Onion Finely Chopped - 2 small onion; chopped tomato - 2 medium tomato; Cumin seeds - 1 tbsp; CINNAMOM - 1 tbsp; cardamom powder - 1 tbsp; Garlic paste - 1 tbsp; Coriander Powder - 1 tbsp; Garam Masala - 1 tbsp; Red chilli Power - 1 tbsp; Coriander seeds - 1 tbsp; Ginger Paste - 1 tbsp"
Chicken keema,"North,South,East","Lunch,Dinner",Non-veg,no-allergies,4 small bowl,601,249,26,8,13,2,1.8555,"Chillies, green-2 - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Cumin seeds - 0.5 tbsp; Turmeric powder - 0.5 tbsp; Common salt - 1 tbsp; Onion Finely Chopped - 2 small onion; chopped tomato - 2 medium tomato; Garlic paste - 1 tbsp; Fresh Coriander Leaves (chopped) - 1 tbsp; Ginger Paste - 1 tbsp; Chicken Minced - 5 small bowl; Garam Masala - 1 tbsp; Cumin Powder - 1 tbsp; Coriander Powder - 1 tbsp"
Chana Dal,North,"Lunch,Dinner",Vegan,no-allergies,4 small bowl,466,251,14,31,7,11,0.6015,"Bengal gram, dal - 1 cup; Onion, small - 1 medium; Tomato, ripe, local - 1 medium; Turmeric powder - 0.5 tbsp; Cumin seeds - 0.5 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Ginger Paste - 0.5 tbsp; Red chilli Powder - 1 tbsp; Fresh Coriander Leaves (chopped) - 1 tbsp; Coriander Powder - 1 tbsp; Plain Water - 3 large glass"
Rajma sabji,North,"Lunch,Dinner",Veg,no-allergies,4 small bowl,570,269,15,41,5,2,0.6855,"RAJMAH - 1 cup; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Cumin seeds - 1 tbsp; Onion, small - 0.5 medium bowl; Tomato, ripe, local - 1 small bowl; Garlic, small clove - 1 tbsp; Chillies, green-1 - 1 tbsp; Turmeric powder - 1 tbsp; Common salt - 1 tbsp; Coriander leaves - 1 tbsp; Ginger, fresh - 1 piece"
Lobia sabji,North,"Lunch,Dinner",Vegan,no-allergies,4 small bowl,714,115,4,14,4,3,0.787,"COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Cumin seeds - 0.5 tbsp; Onion, big - 2 medium; Chillies, green-1 - 1 tbsp; Turmeric powder - 0.5 tbsp; Common salt - 1 tbsp; chopped tomato - 1 small tomato; Garlic paste - 1 tbsp; Fresh Coriander Leaves (chopped) - 1 tbsp; Lobia (Black Eyed Peas) - 20 tbsp; Ginger Paste - 1 tbsp; Coriander Powder - 1 tbsp; Cumin Powder - 1 tbsp"
Curd,"North,South,East,West",Lunch,Veg,dairy allergy,2 small bowl,504,183,8,13,11,0,1.41,"Milk, whole, Cow - 500 ml; CURDS (cow milk) - 0.25 tbsp"
Boondi Raita,North ,Lunch,Veg,dairy allergy,1 small bowl,404,194,11,13,11,1,0.6266,"CURDS (cow milk) - 1 cup; Coriander leaves - 0.25 tbsp; Pepper, black - 1 pinch; Boondi Raita - 1 small bowl"
"Avocado, cherry Tomato, Cucumber, Lettuce leaves and Seeds Salad",Continental,"Lunch,Dinner",Vegan,no-allergies,1 small bowl,486,393,12,13,31,9,0.33625,"Avocado fruit - 0.5 medium; Tomato, ripe, local - 0.25 cup; CUCUMBER - 0.25 cup; LETTUCE TREE LEAVES, mature - 1 cup; Sunflower seeds - 1 tbsp; PUMPKIN SEED - 1 tbsp; Lemon, juice - 1 tbsp; Common salt - 1 gms; Pepper, black - 1 gms; oilve Oil - 1 tbsp"
Baby Corn and Broccoil Salad,Continental,"Lunch,Dinner",Veg,no-allergies,1 small bowl,334,109,6,16,3,7,0.1242,"Corn, Baby - 0.25 cup; CUCUMBER - 0.25 cup; Parsley - 2 tbsp; Lemon, juice - 7 ml; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Brocoil Salad - 1 small bowl"
Baby Tomato and Lettuce Salad,Continental,"Lunch,Dinner",Veg,no-allergies,1 small bowl,480,205,14,30,4,3,0.169,"LETTUCE TREE LEAVES, mature - 1 cup; LEMON - 5 ml; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Cherry Tomato &amp; Lettuce Salad - 1 small bowl"
Beans Salad,Continental,Lunch,Vegan,no-allergies,1 small bowl,324,460,30,81,2,3,0.30455,"RAJMAH - 0.5 cup; Capsicum, green - 0.25 cup; CUCUMBER - 0.25 cup; Parsley - 2 tbsp; LEMON - 1 tbsp; Common salt - 1 tbsp; Pepper, black - 1 tbsp"
Beetroot and Paneer Salad,Continental,"Lunch,Dinner",Veg,dairy allergy,1 small bowl,262,104,11,9,2,3,0.5456,"BEET ROOT - 1 small; CUCUMBER - 0.25 cup; CORIANDER - 1 tbsp; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Lemon, juice - 1 tbsp; Homemade skimmed milk paneer - 1 cubed"
Corn and spinach Salad,Continental,"Lunch,snack",Veg,no-allergies,2 small bowl,538,124,5,21,2,9,0.208,"SPINACH stalks - 1 cup; Garlic, small clove - 1 gms; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Lemon, juice - 0.5 tbsp; Corn, Baby - 1 cup; Baby Spinach - 1 1 cup"
Corn and Avocado salad,Continental,"Lunch,Dinner",Veg,no-allergies,2 small bowl,337,80,2,8,5,3,0.3776,"Avocado fruit - 0.25 small bowl; CUCUMBER - 0.25 cup; Parsley - 1 tbsp; Lemon, juice - 1 tbsp; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Corn Kernels - 1 small bowl; oilve Oil - 1 tbsp"
Creamy Cucumber Salad,Continental,Lunch,Veg,dairy allergy,2 small bowl,88,34,3,1,2,1,0.4971,"CUCUMBER - 1 gms; Mint leaves - 0.5 tbsp; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Paneer Homemade - 1 Small cube"
"Cucumber, Onion and Tomato Salad",Continental,"Lunch,Dinner",Vegan,no-allergies,1 small bowl,280,64,5,8,1,3,0.2745,"CUCUMBER - 1 small; Tomato, ripe, local - 1 small; PARSEY fresh - 1 tbsp; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Lemon, juice - 1 tbsp; Onion, small - 30 gms"
Lettuce leaves salad,Continental,"Lunch,Dinner",Veg,no-allergies,1 small bowl,101,17,1,3,0,2,0.0615,"LETTUCE TREE LEAVES, mature - 6 gms; CUCUMBER - 0.25 gms; Capsicum, red - 0.25 gms; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Lemon, juice - 1 tbsp"
Detox salad,Continental,"Lunch,Dinner",Vegan,no-allergies,2 medium bowl,610,154,10,8,9,8,0.2595,"Spinach - 2 cup; CUCUMBER - 0.5 gms; CARROT - 0.5 gms; Avocado fruit - 0.25 gms; Sunflower seeds - 1 tbsp; PUMPKIN SEED - 1 tbsp; Lemon, juice - 1 tbsp; Common salt - 1 tbsp; Pepper, black - 1 tbsp"
Mint salad,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,273,43,3,5,0,6,0.2426,"Mint leaves - 0.25 cup; CUCUMBER - 0.25 cup; Tomato, ripe, local - 1 small; Lemon, juice - 1 tbsp; Common salt - 0.5 tbsp; Pepper, black - 0.5 tbsp"
Carrot Soup,Continental,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,291,107,5,18,1,8,0.3232,"CARROT - 1 large; Onion, small - 0.25 small; Tomato, ripe, local - 1 gms; Garlic, small clove - 1 gms; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Parsley - 5 gms; Plain Water - 1 small cup; Cumin seeds - 1 tbsp"
Peas soup,Continental,"Lunch,Dinner",Veg,no-allergies,2 medium bowl,350,133,9,17,3,9,0.3618,"Peas, fresh - 1 cup; Onion, small - 0.25 small; Garlic, small clove - 1 gms; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Mint leaves - 4 gms; oilve Oil - 1 tbsp; Plain Water - 1 medium glass"
Tomato soup,Continental,"Lunch,Dinner",Veg,no-allergies,2 medium bowl,163,29,1,6,0,2,0.1677,"Tomato, ripe, local - 6 gms; CARROT - 1 small; Onion, small - 0.25 small; Garlic, small clove - 1 gms; Common salt - 1 tbsp; Pepper, black - 1 tbsp; CINNAMOM - 1 small; Plain Water - 1 small cup; Ginger, fresh - 1 piece"
Chicken rice soup,Continental,"Lunch,Dinner",Non-veg,no-allergies,6 cup,1572,264,31,14,8,2,2.8657,"CARROT - 2 small bowl; Celery stalk - 2 small bowl; Common salt - 1 tbsp; Parsley - 0.5 tbsp; oilve Oil - 1 tbsp; Rice - 1.5 large bowl; Onion Finely Chopped - 1 medium onion; Garlic, big clove - 2 tbsp; Chicken Broth - 8 cup; Black Pepper - 1 tbsp; boneless, skinless chicken breast - 1 lb"
Baingan Bharta,North,"Lunch,Dinner",Veg,no-allergies,1 small bowl,286,332,6,40,16,19,0.357,"Onion, big - 1 medium; Tomato, ripe, local - 2 gms; Chillies, green-2 - 2 gms; Cumin seeds - 0.5 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Ginger, fresh - 1 piece; Fresh Coriander Leaves (chopped) - 1 tbsp; Egg Plant - 1 Medium; Turmeric powder - 1 tbsp; Coriander Powder - 1 tbsp; Red chilli Powder - 0.5 tbsp; Garam Masala - 1 tbsp"
Bharwa Baigan,North,"Lunch,Dinner",Veg,no-allergies,1 small bowl,248,214,2,10,17,7,0.1932,"Turmeric powder - 0.5 tbsp; Cumin seeds - 0.5 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Coriander leaves - 2 tbsp; MANGO POWDER - 0.5 tbsp; Mustard seeds - 0.5 tbsp; Asafoetida - 1 pinch; Curry leaves - 10 gms; Brinjal-1 - 1 tbsp"
Bharwa Tinda,North,"Lunch,Dinner",Veg,no-allergies,1 medium bowl,203,75,2,5,4,4,0.1427,"BOTTLE GOURD - 10 gms; Cumin seeds - 0.5 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 0.5 tbsp; Coriander leaves - 2 tbsp; MANGO POWDER - 0.5 tbsp; Mustard seeds - 0.5 tbsp; Asafoetida - 1 pinch; Curry leaves - 10 gms"
Bhindi,North,"Lunch,Dinner",Veg,no-allergies,1 medium katori,493,243,8,28,10,17,0.3431,"Ladies finger - 250 gms; COOKING OIL (Gnut,ging,palm,must,coconut - 0.5 tbsp; Cumin seeds - 1 tbsp; Onion, big - 1 large; Chillies, green-1 - 1 gms; Common salt - 1 tbsp; Coriander leaves - 4 gms; MANGO POWDER - 0.5 tbsp; Coriander Powder - 1 tbsp"
Green Beans Aloo,North,"Lunch,Dinner",Veg,no-allergies,2 small bowl,511,106,5,20,1,6,0.4656,"FRENCH BEANS - 250 gms; POTATO - 1 medium; Cumin seeds - 1 tbsp; Onion, big - 1 medium; Tomato, ripe, local - 2 gms; Turmeric powder - 0.5 tbsp; Common salt - 1 tbsp; Coriander leaves - 4 gms"
Karela Vegetable,"North,South,East,West","Lunch,Dinner",Veg,no-allergies,2 small bowl,65,114,2,6,9,2,0.1485,"BITTER GOURD - 3 medium; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Onion, small - 1 gms; Cumin seeds - 1 tbsp; Mustard seeds - 0.5 tbsp; Turmeric powder - 0.5 tbsp; Common salt - 1 tbsp; Coriander leaves - 5 gms"
Meethi Vegetable,North,"Lunch,Dinner",Veg,no-allergies,2 medium bowl,692,214,11,15,11,14,0.308,"Fenugreek leaves - 2 cup; Onion, small - 0.5 cup; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Cumin seeds - 0.5 tbsp; Mustard seeds - 0.5 tbsp; Asafoetida - 0.25 tbsp; Garlic, small clove - 4 gms; Common salt - 1 tbsp; Coriander leaves - 1 tbsp"
Palak Vegetable,North,"Lunch,Dinner",Veg,no-allergies,2 small bowl,769,148,6,9,9,7,0.4564,"Spinach - 2 cup; Onion, small - 1 gms; Tomato, ripe, local - 1 gms; Garlic, small clove - 2 gms; Cumin seeds - 0.5 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Ginger, fresh - 1 piece"
Broccoil Vegetable,"North,South,East,West","Lunch,Dinner",Vegan,no-allergies,1 medium katori,134,33,2,6,0,2,0.0872,"Onion, small - 1 gms; Garlic, small clove - 2 gms; Common salt - 1 tbsp; Pepper, black - 1 tbsp; LEMON - 1 slice"
Bell Peppers Vegetable,"North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 small bowl,415,118,8,18,1,11,0.545,"Capsicum, red - 1 gms; Capsicum, yellow - 1 gms; Onion, small - 1 gms; Garlic, small clove - 1 gms; Tomato, ripe, local - 1 small; Common salt - 1 tbsp; Pepper, black - 1 tbsp; Fresh basil leaves - 1 leaf"
Capsicum Vegetable,"North,South,East,West","Lunch,Dinner",Vegan,no-allergies,1 small bowl,503,357,5,12,31,8,0.7141,"Capsicum, green - 2 gms; Onion, small - 1 gms; Tomato, ripe, local - 2 gms; Garlic, small clove - 2 gms; Cumin seeds - 0.5 tbsp; Turmeric powder - 0.5 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 2 tbsp; Coriander leaves - 4 gms"
Cabbage Matar Vegetable,North,"Lunch,Dinner",Vegan,no-allergies,1 small bowl,681,332,20,49,5,12,0.4248,"CABBAGE - 2 cup; PEAS green - 0.5 cup; Onion, small - 1 gms; Garlic, small clove - 2 gms; Cumin seeds - 0.5 tbsp; Turmeric powder - 0.5 tbsp; Common salt - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Coriander leaves - 4 gms; Ginger, fresh - 0.5 piece"
Aloo Gobhi Vegetable,North,"Lunch,Dinner",Veg,no-allergies,2 small bowl,230,89,2,8,5,3,0.242,"POTATO - 0.5 gms; Cauliflower - 100 gms; Chillies, green-1 - 1 gms; Turmeric powder - 1 tbsp; Common salt - 1 tbsp; Mustard oil - 2 tbsp; Coriander leaves - 1 tbsp; Ginger, fresh - 0.5 piece"
Aloo Matar Vegetable,North,"Lunch,Dinner",Veg,no-allergies,2 small bowl,495,180,9,24,6,6,0.4545,"POTATO - 0.5 gms; PEAS green - 1 cup; Onion, small - 1 medium; Coriander leaves - 1 tbsp; Cumin seeds - 1 tbsp; Mustard oil - 2 tbsp; Turmeric powder - 1 tbsp; Common salt - 1 tbsp; Ginger, fresh - 0.5 piece"
Aloo Matar Gravy,North,"Lunch,Dinner",Veg,no-allergies,2 small bowl,815,244,11,36,6,9,0.846,"POTATO - 1 medium; PEAS green - 1 cup; Onion, big - 2 gms; Tomato, ripe, local - 3 medium; Turmeric powder - 1 tbsp; Mustard oil - 2 tbsp; Coriander leaves - 1 tbsp; Common salt - 1 tbsp"
BAKED BROCCOLI (NO WHITE SAUCE),Continental,"Lunch,Dinner",Veg,no-allergies,1 small bowl,395,643,6,23,58,11,0.303,"Common salt - 1 pinch; Brocolli Vegetable - 1 medium bowl; oilve Oil - 2 tbsp; Garlic, small clove - 1 tbsp"
BAKED CAULIFLOWER (NO WHITE SAUCE),Continental,"Lunch,Dinner",Veg,no-allergies,1 small bowl,145,74,2,3,5,4,0.214,Cauliflower - 100 gms; Common salt - 1 tbsp; oilve Oil - 1 tbsp; Garlic Powder - 1 tbsp
BAKED MIX VegETABLES (WITH TOMATO SAUCE),Continental,"Lunch,Dinner",Vegan,no-allergies,1 small bowl,1013,375,14,53,10,20,0.7293,"French beans, country - 0.25 cup; PEAS green - 0.25 cup; CARROT - 0.25 cup; Zucchini, green - 0.25 cup; Garlic, small clove - 1 gms; Common salt - 1 tbsp; Brocoil Vegetable - 1 medium bowl; Onion, small - 1 medium katori; oilve Oil - 1 tbsp; TREE TOMATO - 1 cup"
BAINGAN ALOO VegETABLE,North,"Lunch,Dinner",Veg,no-allergies,1 medium katori,135,232,4,27,10,6,0.1735,"POTATO - 1 medium; Brinjal-1 - 5 gms; Ginger, fresh - 0.5 gms; Turmeric powder - 1 tbsp; Mustard oil - 2 tbsp; Coriander leaves - 1 tbsp; Common salt - 1 tbsp"
BAINGAN MATAR VegETABLE,North,"Lunch,Dinner",Veg,no-allergies,1 medium katori,279,237,8,23,10,9,0.3816,"Brinjal-1 - 5 gms; PEAS green - 0.25 cup; Ginger, fresh - 0.5 tbsp; Onion, small - 1 medium; Tomato, ripe, local - 1 gms; Turmeric powder - 1 tbsp; Mustard oil - 2 tbsp; Coriander leaves - 1 tbsp; Common salt - 1 tbsp"
"BELL PEPPER, ONION & TOMATO VegETABLE",Continental,"Lunch,Dinner",Vegan,onion allergy,1 medium katori,555,250,5,18,16,9,0.774,"Capsicum, green - 1 gms; Onion, big - 2 gms; Tomato, ripe, local - 1 gms; Turmeric powder - 1 tbsp; Mustard oil - 2 tbsp; Coriander leaves - 1 tbsp; Common salt - 1 tbsp; Stuffed Bell Peppers - 1 number"
BEANS/CHINESE BEANS,North,"Lunch,Dinner",Veg,soy allergy,1 medium katori,300,171,5,11,11,8,0.31725,"French beans, country - 0.5 cup; Onion, small - 1 gms; Cumin seeds - 1 tbsp; Turmeric powder - 1 tbsp; Mustard oil - 2 tbsp; Common salt - 1 tbsp"
CHHOTI ELAICHI WATER,"North,South,East,West",Drinks,Vegan,no-allergies,1 glass,3,0,0,0,0,0,0.0105,"Cardamom, green - 3 number; Plain Water - 1 large glass"
CINNAMON WATER,"North,South,East,West",Drinks,Veg,no-allergies,1 glass,6,0,0,0,0,0,0.021,CINNAMOM - 1 number; Plain Water - 1 large glass
CARROT MILK,North,Drinks,Veg,dairy allergy,1 cup,330,247,10,23,3,3,0.8015,"MILK (cow) - 1 cup; CARROT - 1 small; Almond - 5 gms; Cardamom, green - 1 tbsp"
BUTTERMILK,North,Drinks,Veg,dairy allergy,1 glass,162,93,5,5,1,2,0.3817,"CURDS (cow milk) - 0.5 cup; Common salt - 1 tbsp; Mint leaves - 3 gms; Plain Water - 0.5 small cup; Cumin seeds - 1 tbsp; Pepper, black - 0.25 tbsp"
ALMOND FLOUR ROTI (20% almond flour + 80% wheat flour),North,"Lunch,Dinner",Veg,nut allergy,1 medium,107,385,11,48,17,12,0.0975,"Wheat flour, atta - 4 tbsp; CURDS (cow milk) - 0.5 tbsp; Almond Flour Roti - 1 number; Plain Water - 1 small glass"
ALMOND FLOUR ROTI (50% almond flour + 50% oats flour),North,"Lunch,Dinner",Veg,nut allergy,1 medium,365,340,10,33,20,6,0.2,Almond Flour Roti - 1 small; Oats - 1 small bowl; Plain Water - 1 small glass; Common salt - 1 tbsp
ALMOND FLOUR ROTI (100% almond flour),North,"Lunch,Dinner",Veg,nut allergy,1 medium,200,33,1,1,0,0,0.16,ALMOND - 1 tbsp; Plain Water - 1 small glass
20% flaxseed flour 80% wheat flour Roti,North,"Lunch,Dinner",Veg,gluten allergy,1 medium,170,195,7,13,13,9,0.15,"Wheat flour, atta - 1 tbsp; Flaxseed Roti - 1 small; Plain Water - 1 small glass"
JAWAR ROTI (20% JAWAR & 80% WHEAT),North,"Lunch,Dinner",Vegan,gluten allergy,1 medium,160,223,7,45,1,7,0.135,"Wheat flour, atta - 25 gms; Jawar Roti - 1 small; Plain Water - 1 small glass"
KHICHDI (BASMATI RICE),"North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 medium katori,324,320,91,780,1,15,0.9705,"RICE, raw, handpounded - 4 cup; Green gram, dal - 80 gms; Turmeric powder - 0.5 tbsp; Cumin seeds - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Common salt - 1 tbsp; Plain Water - 3 large cup"
KHICHDI (BROWN RICE),"North,South,East,West","Lunch,Dinner",Veg,no-allergies,1 medium katori,299,887,34,164,3,16,0.8705,"Rice, raw, brown - 3 cup; Green gram, dal - 80 gms; Turmeric powder - 0.5 tbsp; Cumin seeds - 0.5 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Common salt - 1 tbsp"
BLACK CHANNA RASEDAR,South,Snacks,Veg,no-allergies,1 medium katori,634,920,56,120,5,53,0.612,"Black gram, whole - 1 cup; Onion, small - 2 gms; Tomato, ripe, local - 2 gms; Chillies, green-1 - 1 tbsp; Turmeric powder - 0.25 tbsp; Coriander leaves - 1 tbsp; Asafoetida - 1 pinch; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Common salt - 1 tbsp"
BLACK CHANNA (dry),South,Snacks,Veg,no-allergies,1 medium katori,355,882,55,111,5,53,0.5125,"Black gram, whole - 1 cup; Cumin seeds - 1 tbsp; Chillies, green-1 - 1 tbsp; Ginger, fresh - 1 tbsp; Asafoetida - 1 pinch; MANGO POWDER - 1 tbsp; Coriander leaves - 1 tbsp; COOKING OIL (Gnut,ging,palm,must,coconut - 1 tbsp; Common salt - 1 tbsp"
DHANIYA CHUTNEY,North,"Lunch,Dinner,Breakfast",Veg,no-allergies,2 tbsp,263,43,4,4,1,6,0.1019,"Coriander leaves - 1 cup; Garlic, small clove - 1 gms; Ginger, fresh - 1 slice; Chillies, green-1 - 1 gms; LEMON - 0.5 gms; Common salt - 0.5 tbsp"
GREEN CHUTNEY,North,"Lunch,Dinner,Breakfast",Veg,no-allergies,2 tbsp,340,60,6,5,1,8,0.1563,"Coriander leaves - 1 cup; Mint leaves - 0.25 cup; Onion, big - 0.5 medium; Ginger, fresh - 1 gms; Chillies, green-1 - 1 slice; MANGO POWDER - 0.5 tbsp; LEMON - 0.5 gms; Common salt - 1 tbsp"
ALMOND SOUP (WITH ALMOND MILK),Continental,"Lunch,Dinner",Vegan,nut allergy,1 medium bowl,350,328,16,22,21,10,0.8515,"Almond - 10 gms; PEAS green - 0.5 cup; Common salt - 1 tbsp; Almond Milk - 1 large cup; Plain Water - 1 large cup; PEPPER, dry - 1 pinch"
